Entry	Entry Name	Gene Ontology IDs
P06239	LCK_HUMAN	GO:0000242; GO:0001772; GO:0001784; GO:0004713; GO:0004715; GO:0004722; GO:0005102; GO:0005524; GO:0005829; GO:0005886; GO:0006468; GO:0006882; GO:0006919; GO:0007169; GO:0008022; GO:0009410; GO:0016004; GO:0018108; GO:0019901; GO:0019903; GO:0030097; GO:0030154; GO:0030168; GO:0030217; GO:0031234; GO:0031295; GO:0034116; GO:0035556; GO:0038083; GO:0038094; GO:0042169; GO:0042608; GO:0042609; GO:0042610; GO:0042802; GO:0043274; GO:0043548; GO:0045087; GO:0045121; GO:0050852; GO:0050853; GO:0050862; GO:0050870; GO:0050900; GO:0051117; GO:0051209; GO:0051249; GO:0070062; GO:1903039; GO:2001244
P06241	FYN_HUMAN	GO:0000304; GO:0001764; GO:0002223; GO:0002250; GO:0002862; GO:0003015; GO:0004713; GO:0004715; GO:0005102; GO:0005524; GO:0005634; GO:0005739; GO:0005768; GO:0005829; GO:0005884; GO:0005886; GO:0006468; GO:0006816; GO:0007169; GO:0007249; GO:0007411; GO:0007612; GO:0007631; GO:0008360; GO:0010629; GO:0010730; GO:0010976; GO:0014069; GO:0016004; GO:0016567; GO:0018108; GO:0019899; GO:0030154; GO:0030163; GO:0030425; GO:0030900; GO:0031234; GO:0031295; GO:0031397; GO:0031802; GO:0035556; GO:0036120; GO:0038096; GO:0042177; GO:0042531; GO:0042802; GO:0043014; GO:0043123; GO:0043274; GO:0044297; GO:0044325; GO:0045087; GO:0045121; GO:0045471; GO:0046777; GO:0046872; GO:0046875; GO:0048010; GO:0048013; GO:0048156; GO:0048471; GO:0048813; GO:0050321; GO:0050730; GO:0050798; GO:0050804; GO:0050852; GO:0050900; GO:0050966; GO:0070301; GO:0070851; GO:0071560; GO:0090314; GO:0097038; GO:0097062; GO:0097110; GO:0097386; GO:0097718; GO:0098685; GO:1900182; GO:1900449; GO:1901216; GO:1902951; GO:1903202; GO:1904645; GO:1904646; GO:1905232; GO:1905430; GO:1905477; GO:1905664; GO:2001056
P06276	CHLE_HUMAN	GO:0001540; GO:0003824; GO:0003990; GO:0004104; GO:0005576; GO:0005615; GO:0005641; GO:0005788; GO:0005886; GO:0006581; GO:0006805; GO:0007612; GO:0008285; GO:0014016; GO:0016486; GO:0016788; GO:0019695; GO:0019899; GO:0033265; GO:0042802; GO:0043279; GO:0050783; GO:0050805; GO:0051384; GO:0051593; GO:0052689; GO:0072562
P06280	AGAL_HUMAN	GO:0003824; GO:0004557; GO:0005102; GO:0005576; GO:0005737; GO:0005764; GO:0005794; GO:0009311; GO:0016139; GO:0016787; GO:0016936; GO:0017041; GO:0035578; GO:0042803; GO:0043202; GO:0045019; GO:0046477; GO:0046479; GO:0051001; GO:0052692; GO:0070062
P06307	CCKN_HUMAN	GO:0001764; GO:0005179; GO:0005184; GO:0005576; GO:0005615; GO:0007165; GO:0007409; GO:0007586; GO:0030424; GO:0042755; GO:0051428
P06312	KV401_HUMAN	GO:0002250; GO:0003823; GO:0005576; GO:0005615; GO:0005886; GO:0006955; GO:0019814; GO:0072562
P06331	HV434_HUMAN	GO:0003823; GO:0005576; GO:0005886; GO:0006910; GO:0006911; GO:0006955; GO:0006958; GO:0009897; GO:0034987; GO:0042571; GO:0042742; GO:0045087; GO:0050853; GO:0050871
P06340	DOA_HUMAN	GO:0002250; GO:0002503; GO:0002587; GO:0005765; GO:0005886; GO:0010008; GO:0016021; GO:0019886; GO:0023026; GO:0032395; GO:0042613; GO:0045580; GO:0050870
P06396	GELS_HUMAN	GO:0002102; GO:0003779; GO:0005509; GO:0005546; GO:0005576; GO:0005615; GO:0005737; GO:0005829; GO:0005886; GO:0005925; GO:0006911; GO:0007417; GO:0008154; GO:0010628; GO:0014891; GO:0015629; GO:0016528; GO:0030027; GO:0030031; GO:0030041; GO:0030042; GO:0030478; GO:0030864; GO:0031648; GO:0034774; GO:0035994; GO:0036313; GO:0042989; GO:0045010; GO:0045159; GO:0045335; GO:0046597; GO:0051014; GO:0051015; GO:0051016; GO:0051127; GO:0051693; GO:0055119; GO:0060271; GO:0070062; GO:0071346; GO:0071801; GO:0072562; GO:0086003; GO:0090527; GO:0097017; GO:0097284; GO:1902174; GO:1903903; GO:1903906; GO:1903909; GO:1903923; GO:1904813; GO:1990000; GO:2001269
P06400	RB_HUMAN	GO:0000122; GO:0000785; GO:0000977; GO:0001894; GO:0002062; GO:0003180; GO:0003714; GO:0005634; GO:0005654; GO:0005667; GO:0005819; GO:0005829; GO:0006338; GO:0006355; GO:0006366; GO:0006469; GO:0007224; GO:0007265; GO:0007283; GO:0007346; GO:0010629; GO:0014009; GO:0016514; GO:0016605; GO:0019900; GO:0030154; GO:0030308; GO:0031134; GO:0031175; GO:0031507; GO:0031625; GO:0032869; GO:0034088; GO:0034349; GO:0035189; GO:0035914; GO:0042551; GO:0042802; GO:0043353; GO:0043433; GO:0043550; GO:0045445; GO:0045651; GO:0045786; GO:0045842; GO:0045879; GO:0045892; GO:0045944; GO:0048565; GO:0048667; GO:0050673; GO:0050680; GO:0050728; GO:0051146; GO:0051219; GO:0051301; GO:0051402; GO:0051726; GO:0060090; GO:0060253; GO:0061629; GO:0061676; GO:0061793; GO:0071459; GO:0071466; GO:0071901; GO:0071922; GO:0071930; GO:0090230; GO:0097284; GO:0097718; GO:0120163; GO:0140297; GO:1902948; GO:1903055; GO:1903944; GO:1904028; GO:1904761; GO:2000134; GO:2000679; GO:2001234
P06401	PRGR_HUMAN	GO:0000785; GO:0000978; GO:0000981; GO:0001223; GO:0001228; GO:0001542; GO:0002071; GO:0003676; GO:0003677; GO:0003707; GO:0004879; GO:0005102; GO:0005496; GO:0005654; GO:0005741; GO:0005829; GO:0006357; GO:0007165; GO:0007267; GO:0008270; GO:0010628; GO:0010629; GO:0019899; GO:0030518; GO:0038001; GO:0042802; GO:0045944; GO:0048286; GO:0050678; GO:0050847; GO:0051117; GO:0060748
P06454	PTMA_HUMAN	GO:0005634; GO:0005654; GO:0005829; GO:0006351; GO:0042393; GO:0043066; GO:0043167; GO:0045944; GO:0140297
P06493	CDK1_HUMAN	GO:0000086; GO:0000226; GO:0000307; GO:0000781; GO:0001618; GO:0003682; GO:0004672; GO:0004674; GO:0004693; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005759; GO:0005789; GO:0005813; GO:0005829; GO:0005876; GO:0006260; GO:0006281; GO:0006468; GO:0006915; GO:0007095; GO:0007098; GO:0007344; GO:0008353; GO:0009410; GO:0009636; GO:0010628; GO:0010629; GO:0010971; GO:0014038; GO:0014075; GO:0014823; GO:0016020; GO:0016477; GO:0016579; GO:0018105; GO:0018107; GO:0030261; GO:0030332; GO:0030496; GO:0030544; GO:0030855; GO:0031100; GO:0034501; GO:0035173; GO:0042307; GO:0042752; GO:0043066; GO:0045471; GO:0045740; GO:0045995; GO:0046686; GO:0046688; GO:0048144; GO:0048511; GO:0048678; GO:0051301; GO:0055015; GO:0060045; GO:0065003; GO:0070062; GO:0070301; GO:0070371; GO:0071407; GO:0072686; GO:0090166; GO:0097125; GO:0097472; GO:0106310; GO:1900182; GO:1905448
P06576	ATPB_HUMAN	GO:0001525; GO:0001649; GO:0005524; GO:0005634; GO:0005739; GO:0005743; GO:0005753; GO:0005754; GO:0005759; GO:0005886; GO:0006091; GO:0006629; GO:0006754; GO:0006933; GO:0009986; GO:0015986; GO:0016020; GO:0031966; GO:0042288; GO:0042645; GO:0042776; GO:0043532; GO:0043536; GO:0045259; GO:0045261; GO:0046933; GO:0046961; GO:0051453; GO:0070062; GO:0098761; GO:1902600
P06681	CO2_HUMAN	GO:0004252; GO:0005576; GO:0005601; GO:0005615; GO:0005886; GO:0006508; GO:0006956; GO:0006958; GO:0009617; GO:0045087; GO:0046872; GO:0050778; GO:0070062; GO:1903028; GO:2000427
P06702	S10A9_HUMAN	GO:0002523; GO:0002544; GO:0005509; GO:0005576; GO:0005615; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005856; GO:0005886; GO:0006914; GO:0006915; GO:0006919; GO:0006954; GO:0007267; GO:0008017; GO:0008270; GO:0010976; GO:0014002; GO:0016209; GO:0018119; GO:0030054; GO:0030307; GO:0030593; GO:0032119; GO:0032496; GO:0034774; GO:0035425; GO:0035606; GO:0035662; GO:0035821; GO:0042742; GO:0045087; GO:0045113; GO:0048306; GO:0050544; GO:0050729; GO:0050786; GO:0050832; GO:0051092; GO:0051493; GO:0061844; GO:0062023; GO:0070062; GO:0070488; GO:2001244
P06703	S10A6_HUMAN	GO:0001726; GO:0005509; GO:0005523; GO:0005576; GO:0005634; GO:0005635; GO:0005737; GO:0005829; GO:0005886; GO:0007165; GO:0007409; GO:0008270; GO:0015075; GO:0031234; GO:0042803; GO:0044548; GO:0048146; GO:0048306; GO:0048471; GO:0062023; GO:0070062
P06727	APOA4_HUMAN	GO:0002227; GO:0005319; GO:0005507; GO:0005543; GO:0005576; GO:0005615; GO:0005769; GO:0005788; GO:0005829; GO:0006695; GO:0006869; GO:0006982; GO:0007159; GO:0008203; GO:0008289; GO:0010873; GO:0010898; GO:0014012; GO:0015485; GO:0016042; GO:0016209; GO:0019430; GO:0030300; GO:0031210; GO:0032374; GO:0033344; GO:0033700; GO:0034014; GO:0034361; GO:0034364; GO:0034371; GO:0034372; GO:0034375; GO:0034378; GO:0034380; GO:0034445; GO:0035634; GO:0042157; GO:0042627; GO:0042632; GO:0042744; GO:0042802; GO:0042803; GO:0043691; GO:0045202; GO:0045723; GO:0046470; GO:0046889; GO:0051006; GO:0055088; GO:0060228; GO:0062023; GO:0065005; GO:0070062; GO:0070328; GO:0072562; GO:0120020; GO:1905920
P06729	CD2_HUMAN	GO:0001766; GO:0005102; GO:0005576; GO:0005654; GO:0005794; GO:0005886; GO:0005887; GO:0005911; GO:0006915; GO:0007166; GO:0009897; GO:0009898; GO:0009986; GO:0030101; GO:0030887; GO:0030971; GO:0032729; GO:0032757; GO:0032760; GO:0032991; GO:0034113; GO:0038023; GO:0042110; GO:0042267; GO:0042802; GO:0043621; GO:0045121; GO:0045580; GO:0046658; GO:0098609
P06730	IF4E_HUMAN	GO:0000082; GO:0000339; GO:0000340; GO:0000932; GO:0001662; GO:0003723; GO:0003743; GO:0005634; GO:0005737; GO:0005829; GO:0005845; GO:0006413; GO:0006417; GO:0010494; GO:0016281; GO:0016442; GO:0017148; GO:0019827; GO:0019899; GO:0030182; GO:0030324; GO:0031370; GO:0033391; GO:0036464; GO:0045665; GO:0045931; GO:0048471; GO:0070062; GO:0071549; GO:0098978; GO:0099524; GO:0099578; GO:0140297
P06731	CEAM5_HUMAN	GO:0005576; GO:0005886; GO:0005887; GO:0006915; GO:0007156; GO:0007157; GO:0009986; GO:0010832; GO:0016323; GO:0016324; GO:0031225; GO:0034109; GO:0034235; GO:0042802; GO:0042803; GO:0043066; GO:0070062; GO:2000811
P06732	KCRM_HUMAN	GO:0004111; GO:0005524; GO:0005615; GO:0005829; GO:0016301; GO:0016310; GO:0046314
P06733	ENOA_HUMAN	GO:0000015; GO:0000122; GO:0000287; GO:0000977; GO:0001222; GO:0001227; GO:0003714; GO:0003723; GO:0004634; GO:0005615; GO:0005634; GO:0005640; GO:0005737; GO:0005829; GO:0005886; GO:0005938; GO:0006096; GO:0009615; GO:0009986; GO:0010756; GO:0016020; GO:0030308; GO:0031430; GO:0042803; GO:0045296; GO:0045892; GO:0045933; GO:0051020; GO:0061621; GO:0070062; GO:1903298; GO:2001171
P06734	FCER2_HUMAN	GO:0002925; GO:0005178; GO:0005886; GO:0005887; GO:0009897; GO:0019863; GO:0030246; GO:0046872; GO:0051000; GO:0051238; GO:0051712; GO:0051770; GO:0070062
P06737	PYGL_HUMAN	GO:0002060; GO:0005524; GO:0005536; GO:0005576; GO:0005737; GO:0005829; GO:0005977; GO:0005980; GO:0006015; GO:0008184; GO:0009617; GO:0016208; GO:0019842; GO:0030170; GO:0032052; GO:0034774; GO:0042593; GO:0042802; GO:0070062; GO:0070266; GO:0102250; GO:0102499; GO:1904813
P06744	G6PI_HUMAN	GO:0001701; GO:0001707; GO:0002639; GO:0004347; GO:0005125; GO:0005576; GO:0005654; GO:0005829; GO:0005886; GO:0005975; GO:0006094; GO:0006096; GO:0006959; GO:0007599; GO:0007611; GO:0008083; GO:0010595; GO:0016020; GO:0031625; GO:0032355; GO:0032570; GO:0033574; GO:0034101; GO:0034774; GO:0035902; GO:0035994; GO:0042593; GO:0043005; GO:0043154; GO:0043278; GO:0043524; GO:0046686; GO:0048029; GO:0051156; GO:0060170; GO:0070062; GO:0097367; GO:1904813
P06746	DPOLB_HUMAN	GO:0001701; GO:0003684; GO:0003887; GO:0003906; GO:0005634; GO:0005654; GO:0005737; GO:0005874; GO:0005876; GO:0006261; GO:0006281; GO:0006284; GO:0006287; GO:0006290; GO:0006303; GO:0006954; GO:0006974; GO:0007435; GO:0007568; GO:0008017; GO:0008630; GO:0010332; GO:0016446; GO:0016829; GO:0019899; GO:0032991; GO:0045471; GO:0046872; GO:0048535; GO:0048536; GO:0048872; GO:0051402; GO:0055093; GO:0071707
P06748	NPM_HUMAN	GO:0000055; GO:0000056; GO:0001046; GO:0001558; GO:0001652; GO:0003682; GO:0003713; GO:0003723; GO:0004860; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005813; GO:0005829; GO:0005925; GO:0006281; GO:0006334; GO:0006338; GO:0006407; GO:0006884; GO:0006886; GO:0006913; GO:0007098; GO:0007165; GO:0008104; GO:0008284; GO:0008285; GO:0010824; GO:0010825; GO:0010826; GO:0015934; GO:0015935; GO:0016020; GO:0016607; GO:0019843; GO:0019901; GO:0030957; GO:0031398; GO:0031616; GO:0032071; GO:0032991; GO:0032993; GO:0034644; GO:0042255; GO:0042273; GO:0042274; GO:0042393; GO:0042803; GO:0043023; GO:0043024; GO:0043066; GO:0043516; GO:0044387; GO:0045727; GO:0045860; GO:0045893; GO:0045944; GO:0046599; GO:0047485; GO:0048025; GO:0050821; GO:0051059; GO:0051082; GO:0051092; GO:0060699; GO:0060735; GO:0090398; GO:0140297; GO:0140693; GO:1902629; GO:1902751; GO:1904751; GO:1990904
P06753	TPM3_HUMAN	GO:0001725; GO:0005829; GO:0005856; GO:0005862; GO:0005884; GO:0006936; GO:0007015; GO:0015629; GO:0051015; GO:0070062
P06756	ITAV_HUMAN	GO:0001525; GO:0001570; GO:0001618; GO:0001846; GO:0001968; GO:0002020; GO:0005080; GO:0005178; GO:0005245; GO:0005829; GO:0005886; GO:0005887; GO:0005925; GO:0007155; GO:0007160; GO:0007204; GO:0007229; GO:0008284; GO:0008305; GO:0009897; GO:0009986; GO:0010745; GO:0010888; GO:0015026; GO:0016020; GO:0016477; GO:0030335; GO:0031258; GO:0031527; GO:0031528; GO:0031589; GO:0032369; GO:0032587; GO:0033627; GO:0033690; GO:0034113; GO:0034446; GO:0034683; GO:0034684; GO:0034685; GO:0034686; GO:0035579; GO:0035866; GO:0035867; GO:0035868; GO:0035987; GO:0038027; GO:0043277; GO:0045335; GO:0045785; GO:0046718; GO:0046872; GO:0050431; GO:0050748; GO:0050764; GO:0050840; GO:0050919; GO:0051057; GO:0070062; GO:0070371; GO:0070588; GO:0071604; GO:0085017; GO:0097192; GO:0098609; GO:1901388; GO:1902533; GO:1905598; GO:1990430; GO:2000536; GO:2001237
P06850	CRF_HUMAN	GO:0001963; GO:0005102; GO:0005179; GO:0005184; GO:0005576; GO:0005615; GO:0006704; GO:0006954; GO:0007165; GO:0007268; GO:0007565; GO:0007567; GO:0007611; GO:0010841; GO:0017045; GO:0030324; GO:0030325; GO:0032811; GO:0035641; GO:0042322; GO:0043025; GO:0045202; GO:0051461; GO:0051464; GO:0070093; GO:2000310
P06858	LIPL_HUMAN	GO:0004465; GO:0004620; GO:0004806; GO:0005102; GO:0005509; GO:0005576; GO:0005615; GO:0005886; GO:0006631; GO:0006633; GO:0006641; GO:0006644; GO:0008201; GO:0008970; GO:0009409; GO:0009410; GO:0009617; GO:0009749; GO:0009986; GO:0010744; GO:0010884; GO:0010886; GO:0010890; GO:0016042; GO:0016298; GO:0017129; GO:0019432; GO:0019433; GO:0031670; GO:0032722; GO:0032731; GO:0032755; GO:0032760; GO:0034185; GO:0034361; GO:0034371; GO:0034372; GO:0042627; GO:0042632; GO:0042803; GO:0043395; GO:0043495; GO:0045600; GO:0050729; GO:0052739; GO:0052740; GO:0055096; GO:0070328; GO:0071398; GO:0071813; GO:1900077; GO:1902494; GO:2000343
P06865	HEXA_HUMAN	GO:0001501; GO:0004563; GO:0005764; GO:0005829; GO:0005975; GO:0006024; GO:0006689; GO:0007040; GO:0007605; GO:0007628; GO:0008375; GO:0016020; GO:0019915; GO:0019953; GO:0030203; GO:0030214; GO:0042552; GO:0042582; GO:0043202; GO:0043231; GO:0046982; GO:0048667; GO:0050884; GO:0050885; GO:0051651; GO:0060395; GO:0070062; GO:0102148; GO:1905379
P06870	KLK1_HUMAN	GO:0003073; GO:0004252; GO:0005634; GO:0030141; GO:0031638; GO:0070062
P06881	CALCA_HUMAN	GO:0001878; GO:0001935; GO:0001944; GO:0001976; GO:0002031; GO:0005102; GO:0005179; GO:0005576; GO:0005615; GO:0005737; GO:0006468; GO:0007159; GO:0007189; GO:0007190; GO:0007267; GO:0008217; GO:0010523; GO:0019731; GO:0019732; GO:0031623; GO:0032730; GO:0032757; GO:0042311; GO:0043542; GO:0044877; GO:0045087; GO:0045651; GO:0045671; GO:0045776; GO:0045779; GO:0050829; GO:0050830; GO:0051480; GO:0051482; GO:0061844; GO:0097647; GO:1990408
P06899	H2B1J_HUMAN	GO:0000786; GO:0001530; GO:0002227; GO:0003677; GO:0005615; GO:0005634; GO:0005654; GO:0005829; GO:0006334; GO:0010804; GO:0019731; GO:0030527; GO:0031640; GO:0043505; GO:0046982; GO:0050829; GO:0050830; GO:0061644; GO:0061844
P07093	GDN_HUMAN	GO:0004867; GO:0005102; GO:0005539; GO:0005576; GO:0005615; GO:0005829; GO:0008201; GO:0008285; GO:0010757; GO:0010766; GO:0010951; GO:0010955; GO:0014067; GO:0021683; GO:0030154; GO:0030163; GO:0030168; GO:0030195; GO:0030308; GO:0030334; GO:0031091; GO:0031232; GO:0031594; GO:0032940; GO:0033363; GO:0042177; GO:0042628; GO:0045861; GO:0045879; GO:0048505; GO:0048711; GO:0050974; GO:0051966; GO:0060291; GO:0060384; GO:0061108; GO:0062023; GO:0090331; GO:1903561
P07098	LIPG_HUMAN	GO:0004806; GO:0005576; GO:0005739; GO:0006108; GO:0006641; GO:0008289; GO:0016042; GO:0016615; GO:0043231
P07099	HYEP_HUMAN	GO:0004301; GO:0005789; GO:0006805; GO:0009636; GO:0014070; GO:0016021; GO:0019369; GO:0019439; GO:0033961; GO:0097176
P07101	TY3H_HUMAN	GO:0001666; GO:0001963; GO:0001975; GO:0003007; GO:0004511; GO:0005634; GO:0005737; GO:0005739; GO:0005790; GO:0005829; GO:0006585; GO:0006631; GO:0006665; GO:0007507; GO:0007601; GO:0007605; GO:0007612; GO:0007613; GO:0007617; GO:0007626; GO:0008016; GO:0008021; GO:0008198; GO:0008199; GO:0009414; GO:0009416; GO:0009635; GO:0009651; GO:0009653; GO:0009887; GO:0009898; GO:0010043; GO:0010259; GO:0014823; GO:0015842; GO:0016137; GO:0016597; GO:0018963; GO:0019825; GO:0019899; GO:0019904; GO:0021987; GO:0030424; GO:0030425; GO:0031410; GO:0031667; GO:0032355; GO:0032496; GO:0033076; GO:0033162; GO:0034617; GO:0035176; GO:0035240; GO:0035900; GO:0035902; GO:0042136; GO:0042214; GO:0042416; GO:0042418; GO:0042421; GO:0042462; GO:0042745; GO:0042755; GO:0042802; GO:0043005; GO:0043195; GO:0043204; GO:0043434; GO:0043473; GO:0045471; GO:0045472; GO:0046684; GO:0048471; GO:0048596; GO:0051412; GO:0051602; GO:0052314; GO:0070161; GO:0071287; GO:0071312; GO:0071316; GO:0071333; GO:0071363; GO:0071466; GO:1990384
P07108	ACBP_HUMAN	GO:0000062; GO:0005783; GO:0005788; GO:0005794; GO:0006631; GO:0030156; GO:0032994; GO:0036042; GO:0036151; GO:0042802; GO:0070062; GO:0097038; GO:1903060; GO:1905920; GO:2001140
P07148	FABPL_HUMAN	GO:0003682; GO:0005324; GO:0005504; GO:0005543; GO:0005634; GO:0005654; GO:0005782; GO:0005829; GO:0015908; GO:0016209; GO:0032000; GO:0032052; GO:0032991; GO:0043066; GO:0043154; GO:0045179; GO:0050892; GO:0051345; GO:0070062; GO:0070301; GO:0070538; GO:0071456; GO:1901363
P07195	LDHB_HUMAN	GO:0004459; GO:0005737; GO:0005743; GO:0005829; GO:0006089; GO:0006090; GO:0016020; GO:0019674; GO:0019900; GO:0042802; GO:0045121; GO:0051287; GO:0070062; GO:1990204
P07196	NFL_HUMAN	GO:0000226; GO:0005200; GO:0005737; GO:0005829; GO:0005882; GO:0005883; GO:0007409; GO:0008022; GO:0008089; GO:0008090; GO:0009636; GO:0014012; GO:0019896; GO:0019904; GO:0021510; GO:0021766; GO:0021987; GO:0030424; GO:0030426; GO:0030674; GO:0031133; GO:0031594; GO:0033693; GO:0040011; GO:0042802; GO:0043274; GO:0043434; GO:0044877; GO:0045105; GO:0045109; GO:0050772; GO:0050885; GO:0051258; GO:0051412; GO:0060052; GO:0060074; GO:0097049; GO:0098685; GO:0098981; GO:0099160; GO:0099182; GO:0099184; GO:1903935; GO:1903937; GO:1904115; GO:2000672
P07197	NFM_HUMAN	GO:0005200; GO:0005737; GO:0005882; GO:0005883; GO:0008017; GO:0030424; GO:0033693; GO:0045109; GO:0045111; GO:0097418; GO:0099160
P07199	CENPB_HUMAN	GO:0000775; GO:0000779; GO:0003677; GO:0003682; GO:0003696; GO:0005634; GO:0005654; GO:0005694; GO:0005721; GO:0016604; GO:0019237; GO:0043565
P07202	PERT_HUMAN	GO:0004447; GO:0004601; GO:0005509; GO:0005615; GO:0005886; GO:0005887; GO:0006590; GO:0006979; GO:0009986; GO:0020037; GO:0035162; GO:0042446; GO:0042744
P07203	GPX1_HUMAN	GO:0001659; GO:0001885; GO:0002862; GO:0004601; GO:0004602; GO:0005634; GO:0005737; GO:0005739; GO:0005759; GO:0005829; GO:0006641; GO:0006749; GO:0007568; GO:0007605; GO:0008631; GO:0009410; GO:0009609; GO:0009650; GO:0009725; GO:0010269; GO:0010332; GO:0017124; GO:0018158; GO:0019369; GO:0019372; GO:0032355; GO:0033194; GO:0033599; GO:0034599; GO:0035094; GO:0040029; GO:0042311; GO:0042542; GO:0042744; GO:0043154; GO:0043403; GO:0043534; GO:0045444; GO:0045445; GO:0045454; GO:0047066; GO:0048144; GO:0048741; GO:0051402; GO:0051450; GO:0051593; GO:0051702; GO:0051897; GO:0060047; GO:0060055; GO:0061136; GO:0071333; GO:0090201; GO:1902042; GO:1902176; GO:1902905
P07204	TRBM_HUMAN	GO:0004888; GO:0005509; GO:0005615; GO:0005774; GO:0005886; GO:0005887; GO:0006508; GO:0007565; GO:0007596; GO:0009897; GO:0009986; GO:0010165; GO:0010544; GO:0016020; GO:0016327; GO:0030195; GO:0031638; GO:0032496; GO:0038023; GO:0051591; GO:0051918; GO:0072377; GO:1905370
P07205	PGK2_HUMAN	GO:0004618; GO:0005524; GO:0005634; GO:0005829; GO:0006094; GO:0006096; GO:0016310; GO:0030317; GO:0035686; GO:0043531; GO:0070062
P07225	PROS_HUMAN	GO:0000139; GO:0004866; GO:0005509; GO:0005576; GO:0005615; GO:0005789; GO:0005796; GO:0005886; GO:0007596; GO:0031093; GO:0042730; GO:0070062; GO:0072562
P07237	PDIA1_HUMAN	GO:0003723; GO:0003756; GO:0003779; GO:0004656; GO:0005178; GO:0005576; GO:0005783; GO:0005788; GO:0005793; GO:0005829; GO:0005856; GO:0005925; GO:0006457; GO:0009897; GO:0015035; GO:0016222; GO:0016972; GO:0018401; GO:0019899; GO:0030027; GO:0032991; GO:0034663; GO:0034975; GO:0034976; GO:0035722; GO:0038155; GO:0042470; GO:0045785; GO:0046598; GO:0046982; GO:0070062; GO:0071456; GO:0098761; GO:1900026; GO:1902175
P07288	KLK3_HUMAN	GO:0002803; GO:0003073; GO:0004175; GO:0004252; GO:0005576; GO:0005615; GO:0005634; GO:0006508; GO:0008236; GO:0016525; GO:0016811; GO:0019538; GO:0030141; GO:0031638; GO:0032991; GO:0070062
P07305	H10_HUMAN	GO:0000785; GO:0000786; GO:0000791; GO:0003680; GO:0003690; GO:0003723; GO:0005634; GO:0005654; GO:0005794; GO:0006334; GO:0015629; GO:0016604; GO:0017053; GO:0030261; GO:0030527; GO:0031490; GO:0031492; GO:0031507; GO:0045910; GO:2000679
P07306	ASGR1_HUMAN	GO:0004873; GO:0005576; GO:0005886; GO:0005887; GO:0006898; GO:0009897; GO:0030246; GO:0031668; GO:0042802; GO:0046872
P07307	ASGR2_HUMAN	GO:0004873; GO:0005886; GO:0007166; GO:0009897; GO:0016021; GO:0030246; GO:0044322; GO:0048471
P07315	CRGC_HUMAN	GO:0002088; GO:0005212; GO:0005634; GO:0005737; GO:0007601
P07320	CRGD_HUMAN	GO:0002088; GO:0005212; GO:0005634; GO:0005737; GO:0007601; GO:0034614; GO:0070306
P07327	ADH1A_HUMAN	GO:0004022; GO:0004024; GO:0004745; GO:0005654; GO:0005829; GO:0005886; GO:0006066; GO:0006069; GO:0008270; GO:0042572; GO:0042573; GO:1990362
P07332	FES_HUMAN	GO:0001578; GO:0004713; GO:0004715; GO:0005102; GO:0005524; GO:0005737; GO:0005794; GO:0005829; GO:0005925; GO:0006935; GO:0007098; GO:0007155; GO:0007169; GO:0008017; GO:0008360; GO:0010976; GO:0015630; GO:0018108; GO:0030154; GO:0030155; GO:0031116; GO:0031234; GO:0031410; GO:0034987; GO:0035091; GO:0042127; GO:0043304; GO:0045087; GO:0045595; GO:0045639; GO:0045657; GO:0046777; GO:0051450; GO:0060038; GO:0060627; GO:0071305; GO:2000145; GO:2000251
P07333	CSF1R_HUMAN	GO:0001934; GO:0002244; GO:0002931; GO:0004713; GO:0004714; GO:0005011; GO:0005524; GO:0005654; GO:0005886; GO:0005887; GO:0006954; GO:0007165; GO:0007169; GO:0007411; GO:0008283; GO:0008284; GO:0008285; GO:0008360; GO:0009986; GO:0010759; GO:0018108; GO:0019221; GO:0019903; GO:0019955; GO:0021772; GO:0021879; GO:0030097; GO:0030224; GO:0030225; GO:0030316; GO:0030335; GO:0031529; GO:0032722; GO:0033674; GO:0036006; GO:0038145; GO:0042531; GO:0042803; GO:0043066; GO:0043231; GO:0043235; GO:0044794; GO:0045087; GO:0045124; GO:0045217; GO:0046488; GO:0046777; GO:0048015; GO:0060603; GO:0061098; GO:0061518; GO:0070374; GO:0071345; GO:0071902; GO:0120041; GO:1990682; GO:2000147; GO:2000249
P07339	CATD_HUMAN	GO:0000045; GO:0004190; GO:0004197; GO:0005576; GO:0005615; GO:0005764; GO:0005765; GO:0006508; GO:0008233; GO:0010008; GO:0019886; GO:0035580; GO:0042159; GO:0042470; GO:0043065; GO:0043202; GO:0043280; GO:0045121; GO:0062023; GO:0070001; GO:0070062; GO:0070201; GO:1904724; GO:1904813
